Sheet,列号,时间维度,计算类型,系统字段名/公式,Excel表头名
店端日报,A,通用,,region,大区
店端日报,B,通用,,zone,战区
店端日报,C,通用,,dealer_id,店编号
店端日报,D,通用,,dealer_name,店简称
店端日报,E,本月,,n60_lead_count,N60线索数（含再次分配）
店端日报,F,本月,,n60_follow_30min_count,N60及时跟进数
店端日报,G,本月,,follow_30min_task_count,30分钟跟进任务数(首触)
店端日报,H,本月,,follow_30min_count,30分钟及时跟进数(首触)
店端日报,I,本月,,follow_30min_rate,30分钟跟进率(首触)
店端日报,J,本月,,day3_3follow_task_count,三天三次跟进任务数
店端日报,K,本月,,day3_3follow_count,三天三次跟进数
店端日报,L,本月,,day3_3follow_rate,三天三次跟进率
店端日报,M,本月,绝对值,new_media_self_valid_lead_count,新媒体自店有效线索量
店端日报,N,本月,,local_lead_count,线索量（本地）
店端日报,O,本月,,to_shop_count,到店数
店端日报,P,本月,,local_lead_to_shop_rate,线索到店率（本地）
店端日报,Q,本日,,n60_lead_count,N60线索数（含再次分配）
店端日报,R,本日,,n60_follow_30min_count,N60及时跟进数
店端日报,S,本日,,follow_30min_task_count,30分钟跟进任务数(首触)
店端日报,T,本日,,follow_30min_count,30分钟及时跟进数(首触)
店端日报,U,本日,,follow_30min_rate,30分钟跟进率(首触)
店端日报,V,本日,绝对值,new_media_self_valid_lead_count,新媒体自店有效线索量
店端日报,W,本日,,local_lead_count,线索量（本地）
店端日报,X,本日,,to_shop_count,到店数
店端日报,Y,本日,,local_lead_to_shop_rate,线索到店率（本地）
大区日报,A,通用,分组键,region,大区
大区日报,B,通用,计数,dealer_count,门店总数
大区日报,C,本月,绝对值,n60_lead_count,N60线索数
大区日报,D,本月,绝对值,n60_follow_30min_count,N60及时跟进数
大区日报,E,本月,绝对值,follow_30min_task_count,30分钟跟进任务数(首触)
大区日报,F,本月,绝对值,follow_30min_count,30分钟及时跟进数(首触)
大区日报,G,本月,比率,follow_30min_count/follow_30min_task_count,30分钟跟进率（首触）
大区日报,H,本月,绝对值,day3_3follow_task_count,三天三次跟进任务数
大区日报,I,本月,绝对值,day3_3follow_count,三天三次跟进数
大区日报,J,本月,比率,day3_3follow_count/day3_3follow_task_count,三天三次跟进率
大区日报,K,本月,绝对值,new_media_self_valid_lead_count,新媒体自店有效线索量
大区日报,L,本月,绝对值,local_lead_count,线索量（本地）
大区日报,M,本月,绝对值,to_shop_count,到店数
大区日报,N,本月,比率,to_shop_count/local_lead_count,线索到店率（本地）
大区日报,O,本日,绝对值,n60_lead_count,N60线索数
大区日报,P,本日,绝对值,n60_follow_30min_count,N60及时跟进数
大区日报,Q,本日,绝对值,follow_30min_task_count,30分钟跟进任务数(首触)
大区日报,R,本日,绝对值,follow_30min_count,30分钟及时跟进数(首触)
大区日报,S,本日,比率,follow_30min_count/follow_30min_task_count,30分钟跟进率（首触）
大区日报,T,本日,绝对值,new_media_self_valid_lead_count,新媒体自店有效线索量
大区日报,U,本日,绝对值,local_lead_count,线索量（本地）
大区日报,V,本日,绝对值,to_shop_count,到店数
大区日报,W,本日,比率,to_shop_count/local_lead_count,线索到店率（本地）
